,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
qcd,475600.8,467643.78,229353.26,129725.52,0.12,0.16,0.75,0.0,0.0,16.35,6.39,818.3,257.81
data,681676.0,681676.0,384358.0,233111.0,0.0,2.0,2.0,0.0,0.0,48.0,17.0,2574.0,894.0
ttbar,37398.28,35932.3,26394.6,19461.31,0.45,1.26,0.78,0.53,0.0,17.03,7.44,993.91,401.32
gghtobb,122.19,115.72,93.03,88.42,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.82,0.3
vbfhtobb,17.39,16.85,13.84,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
vhtobb,58.12,55.99,45.01,43.59,0.02,0.06,0.19,0.04,0.0,0.53,0.14,2.5,1.39
novhhtobb,139.58,135.96,110.45,105.03,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.77,0.29
tthtobb,89.59,84.73,62.34,52.1,0.0,0.02,0.08,0.03,0.0,0.43,0.18,4.37,1.77
diboson,405.32,408.34,215.11,128.98,0.0,0.02,0.0,0.0,0.0,0.17,0.02,4.06,0.52
vjets,10958.07,11264.69,5584.52,3475.81,0.0,0.0,0.15,0.1,0.0,1.19,0.19,30.5,8.51
hh4b,1.75,1.76,1.46,1.46,0.02,0.02,0.12,0.11,0.0,0.26,0.22,0.35,0.27
hh4b-kl0,2.02,1.97,1.64,1.63,0.04,0.04,0.12,0.11,0.0,0.29,0.25,0.36,0.29
hh4b-kl2p45,1.31,1.31,1.09,1.08,0.01,0.02,0.1,0.08,0.0,0.18,0.15,0.26,0.21
hh4b-kl5,1.68,1.63,1.32,1.27,0.01,0.01,0.07,0.06,0.0,0.15,0.11,0.21,0.16
vbfhh4b,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
vbfhh4b-k2v0,13.68,14.68,13.23,13.13,3.81,4.24,1.04,0.92,0.0,1.05,0.93,2.72,2.3
vbfhh4b-k2v2,12.3,13.24,11.94,11.85,3.62,4.02,0.95,0.83,0.0,0.87,0.76,2.37,1.98
vbfhh4b-kl2,0.04,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,19.31,20.39,18.25,17.7,5.94,6.49,1.01,0.87,0.0,0.67,0.58,3.23,2.71
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,25.85,27.17,23.63,23.29,5.02,5.57,1.95,1.72,0.0,2.36,2.0,4.67,3.89
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,2.31,2.49,2.25,2.23,0.68,0.76,0.18,0.16,0.0,0.16,0.14,0.44,0.37
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.25,0.27,0.23,0.22,0.05,0.05,0.01,0.01,0.0,0.02,0.01,0.04,0.03
vbfhh4b-kvm2p12-k2v3p87-klm5p96,2.32,2.41,2.07,2.03,0.37,0.41,0.15,0.13,0.0,0.25,0.2,0.46,0.38
