,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
qcd,475600.8,467643.78,229353.26,129725.52,0.12,0.16,0.75,0.0,0.0,16.35,6.39,818.3,257.81
data,681676.0,681676.0,384358.0,233111.0,0.0,2.0,2.0,0.0,0.0,48.0,17.0,2574.0,894.0
ttbar,37398.28,35932.3,26394.6,19461.31,0.45,1.26,0.78,0.53,0.0,17.03,7.44,993.91,401.32
gghtobb,122.19,115.72,93.03,88.42,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.82,0.3
vbfhtobb,17.39,16.85,13.84,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
vhtobb,58.12,55.99,44.57,43.23,0.03,0.07,0.19,0.06,0.0,0.55,0.16,2.48,1.4
novhhtobb,139.58,135.96,110.45,105.03,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.77,0.29
tthtobb,89.59,84.73,62.34,52.1,0.0,0.02,0.08,0.03,0.0,0.43,0.18,4.37,1.77
diboson,405.32,408.34,211.04,130.47,0.0,0.02,0.0,0.0,0.0,0.15,0.0,4.07,1.0
vjets,10958.07,11264.69,5584.52,3475.81,0.0,0.0,0.15,0.1,0.0,1.19,0.19,30.5,8.51
hh4b,1.75,1.76,1.43,1.42,0.02,0.02,0.11,0.1,0.0,0.25,0.21,0.36,0.28
hh4b-kl0,2.02,1.97,1.59,1.57,0.03,0.04,0.1,0.09,0.0,0.28,0.22,0.39,0.31
hh4b-kl2p45,1.31,1.31,1.07,1.06,0.01,0.02,0.09,0.08,0.0,0.18,0.14,0.27,0.21
hh4b-kl5,1.68,1.63,1.28,1.23,0.01,0.02,0.06,0.05,0.0,0.15,0.12,0.21,0.16
vbfhh4b,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
vbfhh4b-k2v0,13.68,14.68,13.09,12.98,3.7,4.19,0.97,0.83,0.02,1.04,0.9,2.84,2.36
vbfhh4b-k2v2,12.3,13.24,11.82,11.72,3.49,3.96,0.89,0.77,0.01,0.88,0.76,2.45,2.03
vbfhh4b-kl2,0.04,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,19.31,20.39,17.93,17.37,5.69,6.36,0.97,0.77,0.02,0.68,0.55,3.37,2.77
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,25.85,27.17,23.2,22.87,4.84,5.51,1.81,1.6,0.02,2.34,1.97,4.82,3.96
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.03,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,2.31,2.49,2.23,2.21,0.66,0.75,0.17,0.15,0.0,0.16,0.14,0.46,0.38
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.25,0.27,0.22,0.22,0.04,0.05,0.01,0.01,0.0,0.02,0.01,0.04,0.03
vbfhh4b-kvm2p12-k2v3p87-klm5p96,2.32,2.41,2.02,1.99,0.35,0.39,0.15,0.13,0.0,0.24,0.2,0.48,0.39
