,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,2817231.0,2018345.0,296204.0,206278.0,0.0,1.0,5.0,1.0,0.0,30.0,11.0,190.0,57.0
ttbar,52134.3234,46392.7536,21828.9034,18046.1247,0.2387,0.619,0.0873,0.0182,0.0,2.2244,0.8213,48.0264,15.0733
gghtobb,415.4252,355.1502,85.9815,82.7316,0.0245,0.0475,0.0371,0.0104,0.0,0.0899,0.021,0.1417,0.0695
vbfhtobb,106.6612,93.5751,11.7144,11.0639,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vhtobb,88.2606,81.6248,54.0763,53.0283,0.058,0.1741,0.4218,0.0949,0.0015,0.5309,0.1589,1.3258,0.9125
novhhtobb,522.0864,469.5922,102.4665,98.5794,0.0277,0.0621,0.0433,0.012,0.0,0.1026,0.0239,0.1516,0.0741
tthtobb,116.6812,107.1653,57.5899,52.4239,0.0247,0.0634,0.0417,0.0108,0.0,0.1635,0.0503,0.3337,0.1281
zz,158.4482,142.5878,50.3425,44.7086,0.0,0.0338,0.0,0.0,0.0,0.2398,0.0,2.3346,0.0
nozzdiboson,461.726,395.5079,138.7819,105.1582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.0
vjets,47877.3309,38214.3589,6319.055,4847.2425,0.0308,0.1275,0.1329,0.0,0.0,0.1727,-0.0293,4.6925,0.5977
hh4b,3.0274,2.9507,1.3696,1.3641,0.0456,0.0553,0.1498,0.1294,0.0,0.1645,0.1358,0.1043,0.0867
hh4b-kl0,4.2073,3.8128,1.6549,1.6413,0.0505,0.0654,0.1455,0.1265,0.0,0.1816,0.1438,0.1272,0.1012
hh4b-kl2p45,2.2867,2.2354,1.0348,1.0226,0.0299,0.0379,0.1161,0.105,0.0,0.1308,0.1045,0.0823,0.0684
hh4b-kl5,3.7503,3.4527,1.2076,1.1627,0.0266,0.0337,0.0944,0.0826,0.0,0.0879,0.072,0.0656,0.0538
vbfhh4b,0.0855,0.0824,0.0276,0.0267,0.003,0.0037,0.003,0.0026,0.0,0.0013,0.001,0.0017,0.0014
vbfhh4b-k2v0,18.6984,20.008,12.9645,12.8745,2.8099,3.4273,2.8266,2.4322,0.0102,0.422,0.3484,0.6709,0.5549
vbfhh4b-kv1p74-k2v1p37-kl14p4,33.8687,33.7697,17.5963,17.0683,3.985,4.8178,3.6287,3.2171,0.0129,0.3005,0.2221,0.7193,0.592
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0106,0.0115,0.0079,0.0079,0.0018,0.0022,0.0018,0.0016,0.0,0.0002,0.0002,0.0004,0.0003
vbfhh4b-kvm0p758-k2v1p44-klm19p3,45.6253,46.0996,22.6441,22.327,4.0787,4.8408,4.3888,3.7616,0.0103,1.0185,0.8473,1.1585,0.9598
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.086,0.0811,0.0255,0.0242,0.0024,0.003,0.003,0.0026,0.0,0.001,0.0009,0.0008,0.0006
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.0722,3.3018,2.2083,2.1939,0.4931,0.5967,0.5,0.4312,0.0023,0.0671,0.0547,0.1009,0.0851
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.5243,0.5139,0.2148,0.2084,0.0352,0.0414,0.0377,0.0336,0.0001,0.006,0.0046,0.0072,0.0055
vbfhh4b-kvm1p83-k2v3p57-klm3p39,2.3219,2.2681,0.9065,0.8748,0.1338,0.1703,0.17,0.1429,0.0012,0.0359,0.0305,0.0341,0.0277
vbfhh4b-kvm2p12-k2v3p87-klm5p96,51.0991,51.0136,23.4092,23.0058,3.8843,4.7234,3.8264,3.3698,0.0166,1.2929,1.0048,1.6034,1.2289
diboson,620.1741,521.5114,182.8454,141.8808,0.0,0.027,0.1858,0.0,0.0,0.0,0.0,2.2914,0.0
