,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,4762656.0,4762656.0,296231.0,206289.0,0.0,1.0,5.0,1.0,0.0,30.0,11.0,190.0,57.0
ttbar,85855.394,85034.4542,21520.6085,17814.2816,0.1589,0.5255,0.1117,0.0353,0.0,2.0506,0.8116,48.0939,14.8344
gghtobb,417.0728,407.9556,84.3548,81.1539,0.0248,0.0485,0.0351,0.0103,0.0,0.0887,0.0195,0.1411,0.0725
vbfhtobb,104.2124,101.4741,11.3531,10.7072,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vhtobb,95.5998,100.3063,52.856,51.8409,0.0498,0.1588,0.4143,0.0941,0.0,0.5293,0.16,1.2929,0.8979
novhhtobb,521.2852,530.092,100.4047,96.5716,0.028,0.063,0.0409,0.0118,0.0,0.1009,0.0223,0.1512,0.0775
tthtobb,154.2712,156.9617,56.1913,51.0079,0.0207,0.0548,0.0307,0.0148,0.0,0.1682,0.0591,0.324,0.1209
zz,199.6601,220.593,49.0949,42.8304,0.0,0.0338,0.24,0.0,0.0,0.0,0.0,2.3373,0.0
nozzdiboson,974.9046,1281.2863,135.8963,103.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0
vjets,103551.7892,137538.1905,6239.6083,4837.7032,0.0309,0.1229,0.133,0.0,0.0,0.3803,0.1121,4.2149,0.1605
hh4b,2.9532,3.0739,1.3152,1.3095,0.0456,0.0547,0.1453,0.1258,0.0,0.1604,0.1303,0.0966,0.0802
hh4b-kl0,4.1291,4.2661,1.7145,1.7014,0.0534,0.0688,0.1797,0.1555,0.0001,0.2014,0.1617,0.1297,0.1062
hh4b-kl2p45,2.26,2.343,0.9958,0.9854,0.0301,0.0367,0.1132,0.1022,0.0001,0.1253,0.101,0.0809,0.0681
hh4b-kl5,3.7855,3.8061,1.16,1.1163,0.0263,0.0334,0.0941,0.0819,0.0,0.0839,0.0698,0.0624,0.0511
vbfhh4b,0.0875,0.0907,0.0274,0.0265,0.0031,0.0037,0.003,0.0026,0.0,0.0013,0.0011,0.0016,0.0013
vbfhh4b-k2v0,18.5453,20.2247,12.8046,12.7161,2.7817,3.3834,2.7932,2.3996,0.0125,0.4163,0.3416,0.6672,0.5536
vbfhh4b-kv1p74-k2v1p37-kl14p4,33.4456,35.0808,17.2568,16.7412,3.9514,4.8166,3.4804,3.0395,0.0292,0.286,0.2224,0.6986,0.5786
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0112,0.0123,0.0083,0.0082,0.0019,0.0024,0.0019,0.0016,0.0,0.0002,0.0002,0.0004,0.0003
vbfhh4b-kvm0p758-k2v1p44-klm19p3,44.0477,46.5012,21.538,21.2252,3.8744,4.7102,4.1373,3.6071,0.0074,0.8897,0.7791,1.1991,0.9655
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.09,0.092,0.0257,0.0243,0.0028,0.0033,0.0029,0.0024,0.0,0.0008,0.0008,0.0008,0.0006
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.1749,3.4687,2.2676,2.2531,0.5029,0.6112,0.5126,0.442,0.0016,0.0686,0.0557,0.1071,0.0906
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.532,0.5562,0.2147,0.2086,0.0361,0.0415,0.0387,0.0331,0.0,0.006,0.0048,0.0062,0.005
vbfhh4b-kvm1p83-k2v3p57-klm3p39,2.3805,2.4665,0.9004,0.8701,0.1351,0.1695,0.1658,0.1409,0.0011,0.0376,0.0321,0.0332,0.0267
vbfhh4b-kvm2p12-k2v3p87-klm5p96,50.6931,53.3012,23.0642,22.6928,3.7194,4.6089,3.8429,3.4777,0.0,1.2895,0.9802,1.5482,1.2479
