,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
qcd,5037916.2412,2813566.9074,402300.4635,265984.2509,0.9109,3.2875,2.8956,0.0459,0.0,2.2294,1.2087,166.5361,44.371
data,5105637.0,4009894.0,537642.0,373213.0,1.0,10.0,4.0,2.0,0.0,29.0,8.0,332.0,113.0
ttbar,115923.8591,89972.8326,44678.3674,36767.6495,0.2154,1.2933,0.6983,0.4649,0.0,6.9244,2.2075,109.4499,36.2631
gghtobb,911.3498,738.9532,177.3146,171.3205,0.0304,0.088,0.0828,0.0312,0.0,0.2494,0.0943,0.4346,0.2062
vbfhtobb,239.5226,201.7741,23.5941,22.2907,0.0062,0.0265,0.0254,0.0,0.0,0.0,0.0,0.0049,0.0049
vhtobb,197.2055,161.7995,93.5646,90.8234,0.0169,0.2358,0.61,0.0399,0.0015,0.7023,0.0643,3.0019,1.5265
novhhtobb,911.3498,731.3205,175.3613,169.375,0.0303,0.0884,0.0828,0.031,0.0,0.2457,0.0925,0.4223,0.2008
tthtobb,258.0854,215.4139,117.7373,106.4109,0.0266,0.1247,0.1032,0.0305,0.0,0.3922,0.1487,0.7685,0.3337
diboson,1338.0774,1047.2745,329.8071,233.4625,0.0,0.1639,0.0621,0.0,0.0,0.1097,0.0,3.5216,0.215
vjets,102275.8524,71245.0822,11646.7592,8845.1505,0.0199,-0.0234,-0.25,-0.0709,0.0,0.1473,-0.2572,16.0224,2.6188
hh4b,6.6219,5.6642,2.5474,2.5312,0.064,0.0997,0.2347,0.1656,0.0005,0.2861,0.1886,0.2833,0.1822
hh4b-kl0,9.2941,7.8838,3.3255,3.298,0.0633,0.1058,0.2972,0.2144,0.0008,0.3738,0.241,0.3655,0.2395
hh4b-kl2p45,4.962,4.3337,1.9317,1.9092,0.0537,0.0793,0.1792,0.1203,0.0003,0.214,0.1403,0.2095,0.132
hh4b-kl5,8.2529,7.0608,2.2037,2.1157,0.0421,0.0635,0.1407,0.0969,-0.0001,0.1613,0.1074,0.1635,0.1029
vbfhh4b,0.1894,0.1648,0.05,0.0483,0.0041,0.0069,0.0042,0.0028,0.0001,0.0023,0.0014,0.0045,0.0026
vbfhh4b-k2v0,41.2608,38.7761,24.3743,24.069,4.0265,6.7087,4.1922,2.7679,0.0826,0.7797,0.4661,1.8964,1.1
vbfhh4b-kv1p74-k2v1p37-kl14p4,74.9031,67.9819,32.954,31.7016,5.5811,9.4404,5.2908,3.4723,0.1272,0.5041,0.3078,1.9898,1.1348
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0236,0.0224,0.0151,0.0148,0.0027,0.0044,0.0027,0.0018,0.0001,0.0004,0.0002,0.0011,0.0006
vbfhh4b-kvm0p758-k2v1p44-klm19p3,101.0139,91.2849,42.4053,41.565,5.5852,9.3187,6.3977,4.2826,0.0991,1.8378,1.1126,3.4602,2.0327
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.1859,0.1622,0.0458,0.0432,0.0036,0.0061,0.0048,0.0031,0.0001,0.0015,0.0009,0.0023,0.0014
vbfhh4b-kvm1p21-k2v1p94-klm0p94,6.777,6.4146,4.1736,4.1215,0.7111,1.1875,0.7494,0.4958,0.0148,0.1225,0.074,0.2945,0.1705
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.1095,0.9859,0.3748,0.3647,0.0477,0.0778,0.0536,0.035,0.0011,0.0107,0.0066,0.0208,0.0122
vbfhh4b-kvm1p83-k2v3p57-klm3p39,5.0184,4.4769,1.7021,1.6406,0.1975,0.3345,0.2404,0.1598,0.0041,0.0604,0.0369,0.1033,0.06
vbfhh4b-kvm2p12-k2v3p87-klm5p96,112.1851,99.8922,43.3224,42.4891,5.3237,8.8449,6.0488,3.9516,0.1056,2.0994,1.2613,3.8042,2.2809
